workload,algo,num_points,purity,qps
KDD99_F,StreamKMeans,1518504,0.676384,14423.4
KDD99_F,StreamKMeans,1567488,0.686511,14732.5
KDD99_F,StreamKMeans,1616472,0.510558,15043.1
KDD99_F,StreamKMeans,1665456,0.527032,15382.1
KDD99_F,StreamKMeans,1714440,0.541677,15778.3
KDD99_F,StreamKMeans,1763424,0.776929,16078.9
KDD99_F,StreamKMeans,1812408,0.782958,16549.9
KDD99_F,StreamKMeans,1861392,0.736027,16620.8
KDD99_F,StreamKMeans,1910376,0.742793,16968.1
KDD99_F,StreamKMeans,1959360,0.749225,17120.4
KDD99_F,StreamKMeans,2008344,0.755343,17320.3
KDD99_F,StreamKMeans,2057328,0.761169,17524
KDD99_F,StreamKMeans,2106312,0.766724,17754.8
KDD99_F,StreamKMeans,2155296,0.817487,18080.4
KDD99_F,StreamKMeans,2204280,0.821543,18299.4
KDD99_F,StreamKMeans,2253264,0.78194,18311.6
KDD99_F,StreamKMeans,2302248,0.786581,18551
KDD99_F,StreamKMeans,2351232,0.791028,18867.9
KDD99_F,StreamKMeans,2400216,0.795293,19094.2
KDD99_F,StreamKMeans,2449200,0.799387,19291.8
KDD99_F,StreamKMeans,2498184,0.803321,19307.5
KDD99_F,StreamKMeans,2547168,0.807104,19659.6
KDD99_F,StreamKMeans,2596152,0.810744,19877.7
KDD99_F,StreamKMeans,2645136,0.814249,20057.2
KDD99_F,StreamKMeans,2694120,0.817627,20164
KDD99_F,StreamKMeans,2743104,0.820884,20380.3
KDD99_F,StreamKMeans,2792088,0.824027,20429.2
KDD99_F,StreamKMeans,2841072,0.861542,20426.2
KDD99_F,StreamKMeans,2890056,0.829992,20615
KDD99_F,StreamKMeans,2939040,0.832826,21407.3
KDD99_F,StreamKMeans,2988024,0.835567,21510.1
KDD99_F,StreamKMeans,3037008,0.838219,21816.1
KDD99_F,StreamKMeans,3085992,0.623965,22071.5
KDD99_F,StreamKMeans,3134976,0.62984,22087.4
KDD99_F,StreamKMeans,3183960,0.845687,22581.6
KDD99_F,StreamKMeans,3232944,0.848025,22811.1
KDD99_F,StreamKMeans,3281928,0.850293,22885.9
KDD99_F,StreamKMeans,3330912,0.852495,23008.1
KDD99_F,StreamKMeans,3379896,0.656663,23460.3
KDD99_F,StreamKMeans,3428880,0.663719,23085.5
KDD99_F,StreamKMeans,3477864,0.643661,23006.7
KDD99_F,StreamKMeans,3526848,0.645245,22793.4
KDD99_F,StreamKMeans,3575832,0.63649,22398.8
KDD99_F,StreamKMeans,3624816,0.627298,22151.1
KDD99_F,StreamKMeans,3673800,0.621443,21794.5
KDD99_F,StreamKMeans,3722784,0.636005,21788.3
KDD99_F,StreamKMeans,3771768,0.605586,21619.3
KDD99_F,StreamKMeans,3820752,0.597273,21201.3
KDD99_F,StreamKMeans,3869736,0.589715,21226.3
KDD99_F,StreamKMeans,3918720,0.582356,20872.7
KDD99_F,StreamKMeans,3967704,0.585085,20888.6
KDD99_F,StreamKMeans,4016688,0.580414,20720.2
KDD99_F,StreamKMeans,4065672,0.585342,20529.4
KDD99_F,StreamKMeans,4114656,0.590279,20465.2
KDD99_F,StreamKMeans,4163640,0.604121,20516.1
KDD99_F,StreamKMeans,4212624,0.607584,20691.9
KDD99_F,StreamKMeans,4261608,0.613705,20845.5
KDD99_F,StreamKMeans,4310592,0.616531,21033.2
KDD99_F,StreamKMeans,4359576,0.622383,21057.4
KDD99_F,StreamKMeans,4408560,0.617595,21449.9
KDD99_F,StreamKMeans,4457544,0.630238,21571.2
KDD99_F,StreamKMeans,4506528,0.615699,21470.6
